"Codice Ateco 2007",Descrizione,Aggiornamento
24.42,Produzione di alluminio,
24.42.0,Produzione di alluminio e semilavorati,
24.42.00,Produzione di alluminio e semilavorati,
24.43,"Produzione di piombo, zinco e stagno e semilavorati",
24.43.0,"Produzione di piombo, zinco e stagno e semilavorati",
24.43.00,"Produzione di piombo, zinco e stagno e semilavorati",
24.44,Produzione di rame,
24.44.0,Produzione di rame e semilavorati,
24.44.00,Produzione di rame e semilavorati,
24.45,Produzione di altri metalli non ferrosi,
24.45.0,Produzione di altri metalli non ferrosi e semilavorati,
24.45.00,Produzione di altri metalli non ferrosi e semilavorati,
24.46,Trattamento dei combustibili nucleari,
24.46.0,Trattamento dei combustibili nucleari (escluso l'arricchimento di uranio e torio),
24.46.00,Trattamento dei combustibili nucleari (escluso l'arricchimento di uranio e torio),
24.5,FONDERIE,
24.51,Fusione di ghisa,
24.51.0,Fusione di ghisa e produzione di tubi e raccordi in ghisa,
24.51.00,Fusione di ghisa e produzione di tubi e raccordi in ghisa,
24.52,Fusione di acciaio,
24.52.0,Fusione di acciaio,
24.52.00,Fusione di acciaio,
24.53,Fusione di metalli leggeri,
24.53.0,Fusione di metalli leggeri,
24.53.00,Fusione di metalli leggeri,
24.54,Fusione di altri metalli non ferrosi,
24.54.0,Fusione di altri metalli non ferrosi,
24.54.00,Fusione di altri metalli non ferrosi,
25,FABBRICAZIONE DI PRODOTTI IN METALLO (ESCLUSI MACCHINARI E ATTREZZATURE),
25.1,FABBRICAZIONE DI ELEMENTI DA COSTRUZIONE IN METALLO,
25.11,Fabbricazione di strutture metalliche e di parti di strutture,
25.11.0,Fabbricazione di strutture metalliche e parti assemblate di strutture,
25.11.00,Fabbricazione di strutture metalliche e parti assemblate di strutture,
25.12,Fabbricazione di porte e finestre in metallo,
25.12.1,"Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici",
25.12.10,"Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici",
25.12.2,"Fabbricazione di strutture metalliche per tende da sole, tende alla veneziana e simili",
25.12.20,"Fabbricazione di strutture metalliche per tende da sole, tende alla veneziana e simili",
25.2,"FABBRICAZIONE DI CISTERNE, SERBATOI, RADIATORI E CONTENITORI IN METALLO",
25.21,Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale,
25.21.0,Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale,
25.21.00,Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale,
25.29,"Fabbricazione di altre cisterne, serbatoi e contenitori in metallo",
25.29.0,"Fabbricazione di cisterne, serbatoi e contenitori in metallo per impieghi di stoccaggio o di produzione",
25.29.00,"Fabbricazione di cisterne, serbatoi e contenitori in metallo per impieghi di stoccaggio o di produzione",
25.3,FABBRICAZIONE DI GENERATORI DI VAPORE (ESCLUSI I CONTENITORI IN METALLO PER CALDAIE PER IL RISCALDAMENTO CENTRALE AD ACQUA CALDA),
25.30,Fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda),
25.30.0,Fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda),
25.30.00,Fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda),
25.4,FABBRICAZIONE DI ARMI E MUNIZIONI,
25.40,Fabbricazione di armi e munizioni,
25.40.0,Fabbricazione di armi e munizioni,
25.40.00,Fabbricazione di armi e munizioni,
25.5,"FUCINATURA, IMBUTITURA, STAMPAGGIO E PROFILATURA DEI METALLI; METALLURGIA DELLE POLVERI",
25.50,"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri",
25.50.0,"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri",
25.50.00,"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri",
25.6,TRATTAMENTO E RIVESTIMENTO DEI METALLI; LAVORI DI MECCANICA GENERALE,
25.61,Trattamento e rivestimento dei metalli,
25.61.0,Trattamento e rivestimento dei metalli,
25.61.00,Trattamento e rivestimento dei metalli,
25.62,Lavori di meccanica generale,
25.62.0,Lavori di meccanica generale,
25.62.00,Lavori di meccanica generale,
25.7,"FABBRICAZIONE DI ARTICOLI DI COLTELLERIA, UTENSILI E OGGETTI DI FERRAMENTA",
25.71,Fabbricazione di articoli di coltelleria e posateria,
25.71.0,"Fabbricazione di articoli di coltelleria, posateria ed armi bianche",
25.71.00,"Fabbricazione di articoli di coltelleria, posateria ed armi bianche",
25.72,Fabbricazione di serrature e cerniere,
25.72.0,Fabbricazione di serrature e cerniere e ferramenta simili,
25.72.00,Fabbricazione di serrature e cerniere e ferramenta simili,
25.73,Fabbricazione di utensileria,
25.73.1,Fabbricazione di utensileria ad azionamento manuale; parti intercambiabili per macchine utensili,
25.73.11,Fabbricazione di utensileria ad azionamento manuale,
25.73.12,Fabbricazione di parti intercambiabili per macchine utensili,
25.73.2,"Fabbricazione di stampi, portastampi, sagome, forme per macchine",
25.73.20,"Fabbricazione di stampi, portastampi, sagome, forme per macchine",
25.9,FABBRICAZIONE DI ALTRI PRODOTTI IN METALLO,
25.91,Fabbricazione di bidoni in acciaio e di contenitori analoghi,
25.91.0,Fabbricazione di bidoni in acciaio e contenitori analoghi per il trasporto e l'imballaggio,
25.91.00,Fabbricazione di bidoni in acciaio e contenitori analoghi per il trasporto e l'imballaggio,
25.92,Fabbricazione di imballaggi leggeri in metallo,
25.92.0,Fabbricazione di imballaggi leggeri in metallo,
25.92.00,Fabbricazione di imballaggi leggeri in metallo,
25.93,"Fabbricazione di prodotti fabbricati con fili metallici, catene e molle",
25.93.1,Fabbricazione di prodotti fabbricati con fili metallici,
25.93.10,Fabbricazione di prodotti fabbricati con fili metallici,
25.93.2,Fabbricazione di molle,
25.93.20,Fabbricazione di molle,
25.93.3,Fabbricazione di catene fucinate senza saldatura e stampate,
25.93.30,Fabbricazione di catene fucinate senza saldatura e stampate,
25.94,Fabbricazione di articoli di bulloneria,
25.94.0,Fabbricazione di articoli di bulloneria,
25.94.00,Fabbricazione di articoli di bulloneria,
25.99,Fabbricazione di altri prodotti in metallo nca,
25.99.1,"Fabbricazione di stoviglie, pentolame, vasellame, attrezzi da cucina e accessori casalinghi non elettrici, articoli metallici per l'arredamento di stanze da bagno",
25.99.11,Fabbricazione di caraffe e bottiglie isolate in metallo,
25.99.19,"Fabbricazione di stoviglie, pentolame, vasellame, attrezzi da cucina e altri accessori casalinghi non elettrici, articoli metallici per l'arredamento di stanze da bagno",
25.99.2,"Fabbricazione di casseforti, forzieri e porte metalliche blindate",
25.99.20,"Fabbricazione di casseforti, forzieri e porte metalliche blindate",
25.99.3,"Fabbricazione di oggetti in ferro, in rame ed altri metalli",
25.99.30,"Fabbricazione di oggetti in ferro, in rame ed altri metalli",
25.99.9,Fabbricazione di altri articoli metallici e minuteria metallica,
25.99.91,Fabbricazione di magneti metallici permanenti,
25.99.99,Fabbricazione di altri articoli metallici e minuteria metallica nca,
26,"FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA; APPARECCHI ELETTROMEDICALI, APPARECCHI DI MISURAZIONE E DI OROLOGI",
26.1,FABBRICAZIONE DI COMPONENTI ELETTRONICI E SCHEDE ELETTRONICHE,
26.11,Fabbricazione di componenti elettronici,
26.11.0,Fabbricazione di componenti elettronici,
26.11.01,"Fabbricazione di diodi, transistor e relativi congegni elettronici",
26.11.09,Fabbricazione di altri componenti elettronici,
26.12,Fabbricazione di schede elettroniche assemblate,
26.12.0,Fabbricazione di schede elettroniche assemblate,
26.12.00,Fabbricazione di schede elettroniche assemblate,
26.2,FABBRICAZIONE DI COMPUTER E UNITÀ PERIFERICHE,
26.20,Fabbricazione di computer e unità periferiche,
26.20.0,Fabbricazione di computer e unità periferiche,
26.20.00,Fabbricazione di computer e unità periferiche,
26.3,FABBRICAZIONE DI APPARECCHIATURE PER LE TELECOMUNICAZIONI,
26.30,Fabbricazione di apparecchiature per le telecomunicazioni,
26.30.1,Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere),
26.30.10,Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere),
26.30.2,Fabbricazione di apparecchi elettrici ed elettronici per telecomunicazioni,
26.30.21,Fabbricazione di sistemi antifurto e antincendio,
26.30.29,Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni,
26.4,FABBRICAZIONE DI PRODOTTI DI ELETTRONICA DI CONSUMO AUDIO E VIDEO,
26.40,Fabbricazione di prodotti di elettronica di consumo audio e video,
26.40.0,Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle immagini,
26.40.01,Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle immagini,
26.40.02,Fabbricazione di console per videogiochi (esclusi i giochi elettronici),
26.5,"FABBRICAZIONE DI STRUMENTI E APPARECCHI DI MISURAZIONE, PROVA E NAVIGAZIONE; OROLOGI",
26.51,"Fabbricazione di strumenti e apparecchi di misurazione, prova e navigazione (esclusi quelli ottici)",
26.51.1,"Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia",
26.51.10,"Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia",
26.51.2,"Fabbricazione di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione, di apparecchi di misura e regolazione (incluse parti staccate e accessori)",
26.51.21,"Fabbricazione di rilevatori di fiamma e combustione, di mine, di movimento, generatori d'impulso e metal detector",
26.51.29,"Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)",
26.52,Fabbricazione di orologi,
26.52.0,Fabbricazione di orologi,
26.52.00,Fabbricazione di orologi,
26.6,"FABBRICAZIONE DI STRUMENTI PER IRRADIAZIONE, APPARECCHIATURE ELETTROMEDICALI ED ELETTROTERAPEUTICHE",
26.60,"Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche",
26.60.0,"Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche",
26.60.01,Fabbricazione di apparecchiature di irradiazione per alimenti e latte,
26.60.02,Fabbricazione di apparecchi elettromedicali (incluse parti staccate e accessori),
26.60.09,Fabbricazione di altri strumenti per irradiazione ed altre apparecchiature elettroterapeutiche,
26.7,FABBRICAZIONE DI STRUMENTI OTTICI E ATTREZZATURE FOTOGRAFICHE,
26.70,Fabbricazione di strumenti ottici e attrezzature fotografiche,
26.70.1,"Fabbricazione di elementi ottici e strumenti ottici di misura, controllo e precisione",
26.70.11,Fabbricazione di elementi ottici e strumenti ottici di precisione,
26.70.12,Fabbricazione di attrezzature ottiche di misurazione e controllo,
26.70.2,Fabbricazione di apparecchiature fotografiche e cinematografiche,
26.70.20,Fabbricazione di apparecchiature fotografiche e cinematografiche,
26.8,FABBRICAZIONE DI SUPPORTI MAGNETICI ED OTTICI,
26.80,Fabbricazione di supporti magnetici ed ottici,
26.80.0,Fabbricazione di supporti magnetici ed ottici,
26.80.00,Fabbricazione di supporti magnetici ed ottici,
27,FABBRICAZIONE DI APPARECCHIATURE ELETTRICHE ED APPARECCHIATURE PER USO DOMESTICO NON ELETTRICHE,
27.1,"FABBRICAZIONE DI MOTORI, GENERATORI E TRASFORMATORI ELETTRICI E DI APPARECCHIATURE PER LA DISTRIBUZIONE E IL CONTROLLO DELL'ELETTRICITÀ",
27.11,"Fabbricazione di motori, generatori e trasformatori elettrici",
27.11.0,"Fabbricazione di motori, generatori e trasformatori elettrici",
27.11.00,"Fabbricazione di motori, generatori e trasformatori elettrici",
27.12,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità,
27.12.0,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità,
27.12.00,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità,
27.2,FABBRICAZIONE DI BATTERIE DI PILE ED ACCUMULATORI ELETTRICI,
27.20,Fabbricazione di batterie di pile ed accumulatori elettrici,
27.20.0,Fabbricazione di batterie di pile ed accumulatori elettrici,
27.20.00,Fabbricazione di batterie di pile ed accumulatori elettrici,
27.3,FABBRICAZIONE DI CABLAGGI E APPARECCHIATURE DI CABLAGGIO,
27.31,Fabbricazione di cavi a fibra ottica,
27.31.0,Fabbricazione di cavi a fibra ottica,
27.31.01,Fabbricazione di cavi a fibra ottica per la trasmissione di dati o di immagini,
27.31.02,Fabbricazione di fibre ottiche,
27.32,Fabbricazione di altri fili e cavi elettrici ed elettronici,
27.32.0,Fabbricazione di altri fili e cavi elettrici ed elettronici,
27.32.00,Fabbricazione di altri fili e cavi elettrici ed elettronici,
27.33,Fabbricazione di attrezzature per cablaggio,
27.33.0,Fabbricazione di attrezzature per cablaggio,
27.33.01,Fabbricazione di apparecchiature in plastica non conduttiva,
27.33.09,Fabbricazione di altre attrezzature per cablaggio,
27.4,FABBRICAZIONE DI APPARECCHIATURE PER ILLUMINAZIONE,
27.40,Fabbricazione di apparecchiature per illuminazione,
27.40.0,Fabbricazione di apparecchiature per illuminazione,
27.40.01,Fabbricazione di apparecchiature di illuminazione e segnalazione per mezzi di trasporto,
27.40.09,Fabbricazione di altre apparecchiature per illuminazione,
27.5,FABBRICAZIONE DI APPARECCHI PER USO DOMESTICO,
27.51,Fabbricazione di elettrodomestici,
27.51.0,Fabbricazione di elettrodomestici,
27.51.00,Fabbricazione di elettrodomestici,
27.52,Fabbricazione di apparecchi per uso domestico non elettrici,
27.52.0,Fabbricazione di apparecchi per uso domestico non elettrici,
27.52.00,Fabbricazione di apparecchi per uso domestico non elettrici,
27.9,FABBRICAZIONE DI ALTRE APPARECCHIATURE ELETTRICHE,
27.90,Fabbricazione di altre apparecchiature elettriche,
27.90.0,Fabbricazione di altre apparecchiature elettriche,
27.90.01,Fabbricazione di apparecchiature elettriche per saldature e brasature,
27.90.02,Fabbricazione di insegne elettriche e apparecchiature elettriche di segnalazione,
27.90.03,"Fabbricazione di capacitori elettrici, resistenze, condensatori e simili, acceleratori",
27.90.09,Fabbricazione di altre apparecchiature elettriche nca,
28,FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE NCA,
28.1,FABBRICAZIONE DI MACCHINE DI IMPIEGO GENERALE,
28.11,"Fabbricazione di motori e turbine (esclusi i motori per aeromobili, veicoli e motocicli)",
28.11.1,Fabbricazione di motori a combustione interna (incluse parti e accessori ed esclusi i motori destinati ai mezzi di trasporto su strada e ad aeromobili),
28.11.11,Fabbricazione di motori a combustione interna (esclusi i motori destinati ai mezzi di trasporto su strada e ad aeromobili),
28.11.12,"Fabbricazione di pistoni, fasce elastiche, carburatori e parti simili di motori a combustione interna",
28.11.2,Fabbricazione di turbine e turboalternatori (incluse parti e accessori),
28.11.20,Fabbricazione di turbine e turboalternatori (incluse parti e accessori),
28.12,Fabbricazione di apparecchiature fluidodinamiche,
28.12.0,Fabbricazione di apparecchiature fluidodinamiche,
28.12.00,Fabbricazione di apparecchiature fluidodinamiche,
28.13,Fabbricazione di altre pompe e compressori,
28.13.0,Fabbricazione di altre pompe e compressori,
28.13.00,Fabbricazione di altre pompe e compressori,
28.14,Fabbricazione di altri rubinetti e valvole,
28.14.0,Fabbricazione di altri rubinetti e valvole,
28.14.00,Fabbricazione di altri rubinetti e valvole,
28.15,"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione (esclusi quelli idraulici)",
28.15.1,"Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli)",
28.15.10,"Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli)",
28.15.2,Fabbricazione di cuscinetti a sfere,
28.15.20,Fabbricazione di cuscinetti a sfere,
28.2,FABBRICAZIONE DI ALTRE MACCHINE DI IMPIEGO GENERALE,
28.21,"Fabbricazione di forni, bruciatori e sistemi di riscaldamento",
28.21.1,"Fabbricazione di forni, fornaci e bruciatori",
28.21.10,"Fabbricazione di forni, fornaci e bruciatori",
28.21.2,Fabbricazione di sistemi di riscaldamento,
28.21.21,Fabbricazione di caldaie per riscaldamento,
28.21.29,Fabbricazione di altri sistemi per riscaldamento,
28.22,Fabbricazione di macchine e apparecchi di sollevamento e movimentazione,
28.22.0,Fabbricazione di macchine e apparecchi di sollevamento e movimentazione,
28.22.01,"Fabbricazione di ascensori, montacarichi e scale mobili",
28.22.02,"Fabbricazione di gru, argani, verricelli a mano e a motore, carrelli trasbordatori, carrelli elevatori e piattaforme girevoli",
28.22.03,Fabbricazione di carriole,
28.22.09,Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione,
28.23,Fabbricazione di macchine ed attrezzature per ufficio (esclusi computer e unità periferiche),
28.23.0,Fabbricazione di macchine ed attrezzature per ufficio (esclusi computer e unità periferiche),
28.23.01,Fabbricazione di cartucce toner,
28.23.09,Fabbricazione di macchine ed altre attrezzature per ufficio (esclusi computer e periferiche),
28.24,Fabbricazione di utensili portatili a motore,
28.24.0,Fabbricazione di utensili portatili a motore,
28.24.00,Fabbricazione di utensili portatili a motore,
28.25,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione,
28.25.0,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbricazione di condizionatori domestici fissi,
28.25.00,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbricazione di condizionatori domestici fissi,
28.29,Fabbricazione di altre macchine di impiego generale nca,
28.29.1,Fabbricazione di bilance e di macchine automatiche per la vendita e la distribuzione (incluse parti staccate e accessori),
28.29.10,Fabbricazione di bilance e di macchine automatiche per la vendita e la distribuzione (incluse parti staccate e accessori),
28.29.2,"Fabbricazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere (incluse parti e accessori)",
28.29.20,"Fabbricazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere (incluse parti e accessori)",
28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)",
28.29.30,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)",
28.29.9,Fabbricazione di macchine di impiego generale ed altro materiale meccanico nca,
28.29.91,Fabbricazione di apparecchi per depurare e filtrare liquidi e gas per uso non domestico,
28.29.92,Fabbricazione di macchine per la pulizia (incluse le lavastoviglie) per uso non domestico,
28.29.93,"Fabbricazione di livelle, metri doppi a nastro e utensili simili, strumenti di precisione per meccanica (esclusi quelli ottici)",
28.29.99,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca,
28.3,FABBRICAZIONE DI MACCHINE PER L'AGRICOLTURA E LA SILVICOLTURA,
28.30,Fabbricazione di macchine per l'agricoltura e la silvicoltura,
28.30.1,Fabbricazione di trattori agricoli,
28.30.10,Fabbricazione di trattori agricoli,
28.30.9,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia",
28.30.90,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia",
28.4,FABBRICAZIONE DI MACCHINE PER LA FORMATURA DEI METALLI E DI ALTRE MACCHINE UTENSILI,
28.41,Fabbricazione di macchine utensili per la formatura dei metalli,
28.41.0,Fabbricazione di macchine utensili per la formatura dei metalli (incluse parti e accessori ed escluse le parti intercambiabili),
28.41.00,Fabbricazione di macchine utensili per la formatura dei metalli (incluse parti e accessori ed escluse le parti intercambiabili),
28.49,Fabbricazione di altre macchine utensili,
28.49.0,Fabbricazione di altre macchine utensili (incluse parti e accessori),
28.49.01,Fabbricazione di macchine per la galvanostegia,
28.49.09,Fabbricazione di altre macchine utensili (incluse parti e accessori) nca,
28.9,FABBRICAZIONE DI ALTRE MACCHINE PER IMPIEGHI SPECIALI,
28.91,Fabbricazione di macchine per la metallurgia,
28.91.0,Fabbricazione di macchine per la metallurgia (incluse parti e accessori),
28.91.00,Fabbricazione di macchine per la metallurgia (incluse parti e accessori),
28.92,"Fabbricazione di macchine da miniera, cava e cantiere",
28.92.0,"Fabbricazione di macchine da miniera, cava e cantiere (incluse parti e accessori)",
28.92.01,"Fabbricazione di macchine per il trasporto a cassone ribaltabile per impiego specifico in miniere, cave e cantieri",
28.92.09,"Fabbricazione di altre macchine da miniera, cava e cantiere (incluse parti e accessori)",
28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco",
28.93.0,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco (incluse parti e accessori)",
28.93.00,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco (incluse parti e accessori)",
28.94,"Fabbricazione di macchine per le industrie tessili, dell'abbigliamento e del cuoio (incluse parti e accessori)",
28.94.1,"Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori)",
28.94.10,"Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori)",
28.94.2,"Fabbricazione di macchine e apparecchi per l'industria delle pelli, del cuoio e delle calzature (incluse parti e accessori)",
28.94.20,"Fabbricazione di macchine e apparecchi per l'industria delle pelli, del cuoio e delle calzature (incluse parti e accessori)",
28.94.3,Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori),
28.94.30,Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori),
28.95,Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori),
28.95.0,Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori),
28.95.00,Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori),
28.96,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori),
28.96.0,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori),
28.96.00,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori),
28.99,Fabbricazione di macchine per impieghi speciali nca (incluse parti e accessori),
28.99.1,Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori),
28.99.10,Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori),
28.99.2,Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori),
28.99.20,Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori),
28.99.3,Fabbricazione di apparecchi per istituti di bellezza e centri di benessere,
28.99.30,Fabbricazione di apparecchi per istituti di bellezza e centri di benessere,
28.99.9,Fabbricazione di altre macchine per impieghi speciali nca (incluse parti e accessori),
28.99.91,"Fabbricazione di apparecchiature per il lancio di aeromobili, catapulte per portaerei e apparecchiature simili",
28.99.92,"Fabbricazione di giostre, altalene ed altre attrezzature per parchi di divertimento",
28.99.93,Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote; altre apparecchiature per il bilanciamento,
28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali nca (incluse parti e accessori),
29,"FABBRICAZIONE DI AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI",
29.1,FABBRICAZIONE DI AUTOVEICOLI,
29.10,Fabbricazione di autoveicoli,
29.10.0,Fabbricazione di autoveicoli,
29.10.00,Fabbricazione di autoveicoli,
29.2,"FABBRICAZIONE DI CARROZZERIE PER AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI",
29.20,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",
29.20.0,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",
29.20.00,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",
29.3,FABBRICAZIONE DI PARTI ED ACCESSORI PER AUTOVEICOLI E LORO MOTORI,
29.31,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori,
29.31.0,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori,
29.31.00,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori,
29.32,Fabbricazione di altre parti ed accessori per autoveicoli,
29.32.0,Fabbricazione di altre parti ed accessori per autoveicoli,
29.32.01,Fabbricazione di sedili per autoveicoli,
29.32.09,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori nca,
30,FABBRICAZIONE DI ALTRI MEZZI DI TRASPORTO,
30.1,COSTRUZIONE DI NAVI E IMBARCAZIONI,
30.11,Costruzione di navi e di strutture galleggianti,
30.11.0,Cantieri navali per costruzioni metalliche e non metalliche,
30.11.01,Fabbricazione di sedili per navi,
30.11.02,Cantieri navali per costruzioni metalliche e non metalliche (esclusi i sedili per navi),
30.12,Costruzione di imbarcazioni da diporto e sportive,
30.12.0,Costruzione di imbarcazioni da diporto e sportive,
30.12.00,Costruzione di imbarcazioni da diporto e sportive,
30.2,COSTRUZIONE DI LOCOMOTIVE E DI MATERIALE ROTABILE FERRO-TRANVIARIO,
30.20,Costruzione di locomotive e di materiale rotabile ferro-tranviario,
30.20.0,"Costruzione di materiale rotabile ferroviario, tranviario, filoviario, per metropolitane e per miniere",
30.20.01,"Fabbricazione di sedili per tram, filovie e metropolitane",
30.20.02,"Costruzione di altro materiale rotabile ferroviario, tranviario, filoviario, per metropolitane e per miniere",
30.3,"FABBRICAZIONE DI AEROMOBILI, DI VEICOLI SPAZIALI E DEI RELATIVI DISPOSITIVI",
30.30,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi",
30.30.0,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi",
30.30.01,Fabbricazione di sedili per aeromobili,
30.30.02,Fabbricazione di missili balistici,
30.30.09,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi nca",
30.4,FABBRICAZIONE DI VEICOLI MILITARI DA COMBATTIMENTO,
30.40,Fabbricazione di veicoli militari da combattimento,
30.40.0,Fabbricazione di veicoli militari da combattimento,
30.40.00,Fabbricazione di veicoli militari da combattimento,
30.9,FABBRICAZIONE DI MEZZI DI TRASPORTO NCA,
30.91,Fabbricazione di motocicli (inclusi i motori),
30.91.1,Fabbricazione di motocicli e motoveicoli (inclusi i motori),
30.91.11,Fabbricazione di motori per motocicli,
30.91.12,Fabbricazione di motocicli,
30.91.2,Fabbricazione di accessori e pezzi staccati per motocicli e ciclomotori,
30.91.20,Fabbricazione di accessori e pezzi staccati per motocicli e ciclomotori,
30.92,Fabbricazione di biciclette e veicoli per invalidi,
30.92.1,Fabbricazione e montaggio di biciclette,
30.92.10,Fabbricazione e montaggio di biciclette,
30.92.2,Fabbricazione di parti ed accessori per biciclette,
30.92.20,Fabbricazione di parti ed accessori per biciclette,
30.92.3,Fabbricazione di veicoli per invalidi (incluse parti e accessori),
30.92.30,Fabbricazione di veicoli per invalidi (incluse parti e accessori),
30.92.4,Fabbricazione di carrozzine e passeggini per neonati,
30.92.40,Fabbricazione di carrozzine e passeggini per neonati,
30.99,Fabbricazione di altri mezzi di trasporto nca,
30.99.0,Fabbricazione di veicoli a trazione manuale o animale,
30.99.00,Fabbricazione di veicoli a trazione manuale o animale,
31,FABBRICAZIONE DI MOBILI,
31.0,FABBRICAZIONE DI MOBILI,
31.01,Fabbricazione di mobili per ufficio e negozi,
31.01.1,Fabbricazione di sedie e poltrone per ufficio e negozi,
31.01.10,Fabbricazione di sedie e poltrone per ufficio e negozi,
31.01.2,Fabbricazione di altri mobili per ufficio e negozi,
31.01.21,Fabbricazione di altri mobili metallici per ufficio e negozi,
31.01.22,Fabbricazione di altri mobili non metallici per ufficio e negozi,
31.02,Fabbricazione di mobili per cucina,
31.02.0,Fabbricazione di mobili per cucina,
31.02.00,Fabbricazione di mobili per cucina,
31.03,Fabbricazione di materassi,
